Tweets,Retweets,Favorite Tweets,Location
RT @HarryWinston: Natalie Portman wore a pair of delicate diamond drop earrings by Harry Winston at the 2012 Golden Globes. ,,,
RT @SmallStepsDocs: #NataliePortman has donated #shoes worn in her @Dior advert to #celebrityshoeauction  @ELLEUK htt,,,
Natalie Portman donates Dior heels to charity @smallstepsdocs -  ,,,
I'm just going to say it - I actually miss Natalie's shaved cut. And I REALLY miss the boy cut from Hotel Chevalier #fightingwords,,,
"RT @ELLEUK: 23 photos that prove Natalie Portman can pull off any hairstyle, including a close shave...  ",,,
"RT @BazaarUK: Tom Hiddleston, Natalie Portman and George Clooney donate their shoes for @SmallStepsDocs  ",,,
She is also producing a second (first being Eating Animals) documentary - ,,,
Natalie Portman is apparently involved in a @JamesFrancoTV film project for his uni students - ,,,
Natalie to present @DarrenAronofsky with Honorary Maverick award - ,,,
This digital drawing of Nat from Closer is incredible -  ,,,
@VFabioSantoro The honour is mine. Natalie's fans will love it.,,,
@VFabioSantoro I am posting it on the site right now :-),,,
Our Natalie wallpaper calendar for October is here -  ,,,
"RT @VFabioSantoro: ""Natalie""(2014) my #digitalpainting of @natpdotcom from ""Closer"". #digitalart #closer #art #portrait #natalieportman htt",,,
@VFabioSantoro Wonderful. Great job!,,,
Quentin Tarantino will be screening Leon The Professional at his New Beverly cinema - ,,,
New Natalie dior photo gives us #tousledhairtuesdays -  ,,,
A great new addition to the recent @Richard_Mille appearance -  ,,,
What did Natalie give Rachel Bilson for her baby shower? Which Game Of Thrones actors have join former Nat movie? - ,,,
"RT @Jarreparr: I just watched ""The other Boleyn girl"" best I have seen in a while! Awesome job ladies @ScarIettJ @natpdotcom",,,
Natalie looked gorgeous at the NYC ballet fall gala -  ,,,
Vote for your fav Leon scene/moment - ,,,
We have some new candid adds from Natalie's meeting with Max Minghella -  ,,,
Big poll about your fav Leon scenes/moments is coming today. Send in your suggestions to make sure they are represented #leontheprofessional,,,
Lot of tweets seem to think it's Natalie's birthday today. Not even close #june9 #portmania,,,
@biivn23 It is not Natalie's birthday. Not even close.,,,
"RT @allthemgirlsdo: -What would my euphemism be?
-You are disarming
-That's not a euphemism...
-But it is 
@natpdotcom 
#natalieportman",,,
You have a friend in Natalie Portman -  ,,,
"Farewell Blooming Bouquet week, thanks for all the memories -  ",,,
Day 4 aaand Natalie is still on the stairs -  ,,,
Natalie Portman brings sexy back -  ,,,
Natalie Portman in Blooming Bouquet day 2 -  ,,,
New Natalie Portman in Blooming Bouquet. We have 4 more on the way this week -  ,,,
@cinetrola Not gonna happen.,,,
Want Natalie's sneakers and bag from her LAX appearance? -  ,,,
@brittneyybakerr Well that's nice but I'm not Natalie so...,,,
@kgingerbreadman Don't have much faith in Zach Snyder so I'll say yes.,,,
RT @LifeNewsHQ: Today in 2012: Natalie Portman Backs Abortion at Women for Obama Event  #tcot ,,,
"RT @ScouserDredgie: Who's the Sexiest for you:
RT = Natalie Portman
FAV = Scarlett Johansson
Or BOTH for BOTH.......... ",,,
"RT @peoplemag: ""We wear our sunglasses at night"" -- what we imagine Natalie Portman and her hubby are humming in their heads ",,,
@theurbanslangs Incorrect. It is the week long celebration of her birthday every year :-P,,,
Natalie Portman lays down in a promo find from the film Closer -  ,,,
A couple great Natalie Portman drawings -  ,,,
Natalie Portman is now back in LA -  ,,,
Natalie is back in France and was attending an event for Richard Mille -  ,,,
Screening review of Jane Got A Gun is...not encouraging. - ,,,
@martin37725365 Knight of Cups is the only chance but even that is unlikely. Probably 4 next year tho.,,,
"More Natalie Portman candids, now with added WHIZ! -  ",,,
Natalie and family go for a walk in LA -  ,,,
Natalie Portman enjoys a swim day with (not so) little Aleph -  ,,,
"Celebrating Garden State, Black Swan and our Facebook page in today's tidbits - ",,,
"RT @GirundoSimona: @natpdotcom  Magnificent performance in the film ""Black Swan,"" is my favorite movie!",,,
Your September Natalie calendar is here - ,,,
Natalie Portman out and about with Aleph in LA -  ,,,
Take a few seconds to vote in our new Natalie poll - ,,,
RT @LauryAnnne: .@natpdotcom #Peta issued a Natalie #Portman stamp. ,,,
Natalie Portman in the Diorstar Skin video ad -  ,,,
Full scans from Natalie's Grazia interview -  ,,,
Natalie Portman reveals that she has a secret French film in the works - ,,,
A drenched Natalie Portman on the poster for her directing debut -  ,,,
Incredible find. Rare photos of Natalie from a 1994 shoot for Vogue -  ,,,
We have some adorable new photos of Natalie and Aleph from a candid set in April -  ,,,
Some of these fan made posters for Leon are exceptional -  ,,,
Looking back at some cast and crew shots from Leon -  ,,,
Did you ever see our Mathilda comic? No time like the present -  ,,,
Better quality versions of Natalie Portman in Dior Star -  ,,,
New poll time. What do you think of Nat's new Rouge Baume campaign? - ,,,
We have a video sneak peak at Natalie's upcoming Dior ad - ,,,
Love the shadows in this Natalie Portman Dior Star photo -  ,,,
...Natalie Portman's new Rouge Dior Baume campaign -  ,,,
We have some great Natalie content for this weekend. Starting with...,,,
Natalie Portman releases heartfelt statement about #LaurenBacall - ,,,
Natalie Portman to receive award for long time service and support to LA childrens hospital - ,,,
Natalie now in glorious HQ -  ,,,
"@Lampiyon @belzeboulis 2/2 But until she does comment, this topic is not needed here of all places.",,,
@Lampiyon @belzeboulis 1/2 Both sides are behaving shamefully. I'm sure Nat doesn't approve of anything occurring there right now.,,,
"Goodbye to Lauren Bacall, the star of Natalie's short film Eve -  ",,,
A better quality version of this gorgeous Natalie Dior Star photo -  ,,,
"@Lampiyon @belzeboulis Nope, still no explanation. What is Natalie being accused of exactly? Not caring about dead children? Seriously?!?!",,,
RT @AfConPhotograph: An old #minimalism #drawing of Natalie Portman @natpdotcom ,,,
Natalie's documentary Eating Animals is definitely on the way - ,,,
Its the 20 year anniversary of Leon: The Professional -  ,,,
Its the 20 year anniversary of Leon: The Professional -  ,,,
@belzeboulis What is your point exactly?,,,
@accroaupopcorn It's been awhile since we've gotten ANY interviews :-(,,,
Two videos from Natalie Portman's interview on CNN's Talk Asia -  ,,,
Natalie leaves a parking garage. How exciting! - ,,,
TOLAD gets a fan poster -  ,,,
Natalie is the 9th best paid actress and Pride+Prejudice+Zombies is actually happening - ,,,
More pics of Natalie Portman attending the Beyonce concert -  ,,,
Natalie attends Beyonce and Jay Z concert -  ,,,
"Tidbits! Avengers, Professional 2 and this old Star Wars set photo -  ",,,
@VisionOfVictor Yeah her audition was super cute.,,,
A glimpse at more Dior Star photos of Natalie out there -  ,,,
@RPairing True to your name ,,,
@josevk121 of course,,,
The August Natalie Portman calendar is here! - ,,,
Our mail server had an issue and nobody could register. It's now working again - ,,,
Natalie Portman makes a young woman's wish come true -  ,,,
Even more candids from LA as Natalie rocks a Grateful Dead t-shirt -  ,,,
Lots more Dior Star on the site -  ,,,
Natalie carries Aleph in LA -  ,,,
Natalie gets shorty again in LA -  ,,,
Natalie Portman. Jean shorts! -  ,,,
Another gorgeous Natalie Portman photo for Dior -  ,,,
Natalie Portman does some shopping at @traderjoes -  ,,,
"RT @OrianneW: @natpdotcom @louiseroe 
Natalie Portman - b/w pic - Colored by me ",,,
@Portmaning You're too kind ,,,
"RT @G_talk: @natpdotcom hi Natalie, if you can see this.. This is a sketch by my sister Swati. Stunning. ",,,
Marvel announce upcoming release dates. Could one of them be for Thor 3? - ,,,
Natalie Portman photographed meeting her agent in LA -  ,,,
Tell us what you think about Natalie focusing on Euro films - ,,,
Did Natalie Portman just give the paparazzi the finger? -  ,,,
She will still star in Hollywood films but will focus more on Europe now - ,,,
Natalie Portman joins French agency to focus on European films and more writing+directing - ,,,
Aleph gets a ride on his mothers back as Natalie and family head for dinner in LA -  ,,,
A grinning Natalie Portman snapped in LA -  ,,,
@ourdancingshoes It wasn't a criticism.,,,
Natalie Portman looking very unglamorous as she gets some shopping done in LA -  ,,,
@martin37725365 Closer is definitely one of my favs.,,,
A grainy glimpse at Natalie's upcoming Dior campaign -  ,,,
Natalie Portman was back in LA for the 4th of July -  ,,,
@edenLiao dying to see a trailer.,,,
@DeannaRoman1991 you can say that again. Sheesh.,,,
Knight Of Cups is coming in 2014? Yessss!!! -  ,,,
@indy_chic Actually one of my least fav Natalie shoots :-P,,,
This great drawing and more Natalie news in the latest tidbits -  ,,,
2 new Natalie Portman outtakes from 2011 Vogue -  ,,,
Here is the July Natalie Portman wallpaper calendar -  ,,,
Over 200 screen captures from the Bluray of Beautiful Girls -  ,,,
Why is Natalie Portman unlikely to take another role this year? - ,,,
Over 50 photos from Natalie's red carpet appearance in Shanghai -  ,,,
Here is the full album from Natalie Portman's second SIFF appearance -  ,,,
The full album of Natalie Portman's first SIFF look. More on the way -  ,,,
"Tidbits - Natalie video from Shanghai, Knightley confused for Nat and Beautiful Girls -  ",,,
@OFSmag Your guess is as good as mine.,,,
@ellisoncarolyn3 I'm a guy.,,,
@martin37725365 Jane is Feb. The Malick films nobody knows. Same for Love and Darkness.,,,
Natalie Portman looking amazing on stage in Shanghai -  ,,,
@iktriad sweet thanks!,,,
@meljmcguire You might be right.,,,
Natalie Portman hits the red carpet (alone) in Shanghai -  ,,,
So what did you think about Natalie's new look? - ,,,
Great Natalie Portman interview video and more from Dior appearance -  ,,,
@JDs_Flying I wouldn't count on it.,,,
And here is Natalie Portman in China and Dior event -  ,,,
Here is Natalie Portman leaving for Shanghai -  ,,,
Natalie Portman receives teen choice nomination - ,,,
New pic of Natalie Portman on Star Wars: Ep2 -  ,,,
We have the entire first act of Natalie's moustached performance -  ,,,
"Rare find here, Natalie Portman with a moustache in video of live reading -  ",,,
Really cute behind the scenes shot of Natalie Portman on SW:ep2 -  ,,,
Avengers 2 spoilers with a connection to Natalie. Click if you must - ,,,
Portmania day 7 brought the birthday cake -  ,,,
Happy birthday to Ben and some great words about Natalie the director - ,,,
RT @ash_a_alvarado: Goal: to have #natalieportman retweet this. #blackswan #loveher  @natalieportman7  @natpdotcom,,,
Happy birthday Natalie Portman and Natalie's mom!,,,
Portmania day 6 is a little scary -  ,,,
@LordThree Good idea. Maybe then she could be half as charming and successful as you.,,,
@jamesjhamilton I'll see if I can find out.,,,
Portmania day 5 brought us this great poster -  ,,,
Portmania day 4 brought this great Natalie drawing -  ,,,
Natalie Portman arrives back in LA -  ,,,
Happy birthday Aleph!,,,
Portmania day 2 -  ,,,
Portmania day 1 -  ,,,
Natalie Portman is heading to Shanghai - ,,,
Natalie Portman joins a fan selfie and more in today's tidbits - ,,,
Here is the Natalie Portman calendar wallpaper for June -  ,,,
Amazing HQ shot of Natalie Portman from Darjeeling Limited  -  ,,,
Are you excited about the upcoming Natalie Dior campaign? New poll time! - ,,,
It's almost Portmania time again - ,,,
Natalie Portman models for new Dior campaign in France -  ,,,
Video showing that Natalie Portman was in Cannes after all - ,,,
Natalie Portman at sound studio + more in todays tidbits -  ,,,
@AlexNikolenko Very nice thanks.,,,
@AlexWavrant She's not there as far as I know. Unless you mean the billboard.,,,
"Natalie Portman, Alfonso Cuaron and an apple - ",,,
@iktriad nice thanks,,,
Behind the scenes videos from the Black Swan production have arrived online -  ,,,
We have HD screen caps from Thor 2 for you guys -  ,,,
And here's a poll for you guys to have your say - ,,,
Which directors is Natalie least likely to work with. Pure guesswork - ,,,
Natalie Portman still in talks to star alongside Tom Hanks in In The Garden Of Beasts - ,,,
RT @MovieLikes: Having fun #watching #MattDillon @timhutton @natpdotcom #UmaThurman &amp; @Rosie @ #BeatifulGirls #movie Amazing script! @Movie,,,
New candids of Natalie Portman at a restaurant in Paris - ,,,
Check out this gorgeous behind the scenes photo of Natalie for Dior -  ,,,
Natalie IS in Cannes...kinda... -  ,,,
RT @LauryAnnne: @natpdotcom I saw her at the restaurant on that day relaxing with her fam in casual clothes. Who'd have guessed the premier,,,
@LauryAnnne People who pay attention to ballet news? :-P,,,
@VicktoriaM uh... Maybe a little bit.,,,
Time for a Star Wars 7 poll - ,,,
We have photos and video from Natalie Portman at Ben's ballet opening -  ,,,
Ben's ballet opens tonight. We hope for Nat sighting but here's something while we wait -  ,,,
New Thor promos to make up for the lack of Natalie news of late -  ,,,
Natalie and Ben look for a new place in Paris - ,,,
The honest trailer for Star Wars Attack Of The Clones - ,,,
We've added some new photos of Natalie on set of Thor 2 -  ,,,
@ToilesHeroiques That's from an old set unfortunately.,,,
Check out these cool new pieces of Natalie Portman fanart -  ,,,
Natalie Portman and family head to Disneyland Paris -  ,,,
Here is your Natalie Portman desktop wallpaper for May -  ,,,
More Cannes musings in today's roundup of Natalie Portman tidbits - ,,,
First production still from TOLAD has Natalie Portman + message to her cinematographer -  ,,,
RT @BigSwoll91: Just watched #vforvendetta again and @natpdotcom kills the shaved head,,,
Great new photos of Natalie Portman directing on set of TOLAD -  ,,,
"As mentioned earlier, Jane Got A Gun moves to Feb - ",,,
Jane Got A Gun moves to February :-(,,,
If Knight Of Cups is the final film added to Cannes line up I will do cartwheels. M***er F***ing cartwheels!,,,
Isabel Lucas talks about Knight Of Cups in today's tidbits update - ,,,
We have several additons to this 2012 Natalie Portman appearance -  ,,,
"Banderas talks KoC, the making of The Phantom Menace and more in today's tidbits - ",,,
We have 3 pieces of Natalie Portman fanart -  ,,,
"Macbeth, without Natalie, shows off some promo shots - ",,,
More great photos of Natalie Portman in Venice -  ,,,
"RT @danny_hmessi: Natalie Portman,Drew 1month ago @natpdotcom @natalieportman7 @2Natalieportman ",,,
Cannes lineup just announced and Knight of Cups was not ready in time. :-(,,,
Knight Of Cups rated R? - ,,,
"@iktriad Thanks man, will pass on to Rach.",,,
Natalie Portman and Benjamin are looking stylish in Venice -  ,,,
The pic battle final begins now. Make sure you vote for your fav Natalie photo - ,,,
Natalie Portman's Jane Got A Gun is on the move - ,,,
Some new Natalie Portman fanart over on the site -  ,,,
The cutest candids you'll ever see of Natalie Portman and family -  ,,,
Semi final 2 in the Natalie Portman pic battle - ,,,
Natalie Portman looks 12 again in new photos from Tel Aviv -  ,,,
"Sad that @Letterman is retiring. Natalie Portman appeared 16 times so far, here are some highlights - ",,,
Our mini Natalie Portman pic battle reaches the semi finals. Go vote! - ,,,
Check out this MASSIVE UHQ photo of Natalie from Miss Dior - ,,,
Awesome new Black Swan fanart right over here - ,,,
"Tidbits: Natalie heads to France, Jane and her gun does the same and Besson is back - ",,,
@batshuaj Mentioned in an update that just went up on the site :-),,,
@batshuaj Referring to this? - ,,,
@batshuaj Where did you hear that and who exactly did she need to speak to? There was a wrap party which I assume she attended.,,,
Get Natalie on your desktop with our new calendar for April -  ,,,
"@HITOMISHIELDS A Tale Of Love And Darkness - producing, writing, directing and acting in it. She's only fluent in 2 languages.",,,
More photos of Natalie Portman directing on set -  ,,,
Tidbits! Natalie with her cinematographer. KoC premiere at Cannes? Sighting in France -  ,,,
The mini pic battle continues with the 4th matchup = ,,,
Set photos of Natalie Portman from final days of TOLAD -  ,,,
Want to own Natalie Portman's gown from Boleyn Girl? -  ,,,
Natalie Portman was wrapped her first feature film. Congrats! - ,,,
Natalie was not able to make #WeDay which is happening right now - ,,,
@mona240 I am not Natalie. I will follow you but please stop spamming me.,,,
I was told the film will finish filming this week. Natalie's first directed feature film finally in the can.,,,
New photos of Natalie Portman on set of Tale Of Love And Darkness -  ,,,
"@yasuo_tezuka Cool, greetings.",,,
Mini pic battle matchup number 2 #handsinpocketsedition - ,,,
@agustinamiaalve Thanks but I am not Natalie.,,,
A rumour that Terrence Malick's Knight Of Cups may have been submitted for Cannes - ,,,
Natalie Portman Dior pic battle starts now - ,,,
A HQ outtake from Natalie Portman's Marie Claire shoot -  ,,,
Must see UHQ text free versions from the Dior Magazine shoot -  ,,,
@kgingerbreadman I am not Natalie and she is not in the new star wars.,,,
@kgingerbreadman which one are you asking about?,,,
Here's the next MASSIVE Star Wars photo. Go to the site for the full size -  ,,,
@TheCathyJensen Check out gallery. Everything we have from the event is in there.,,,
Check the main site for the full size of this massive Star Wars promo photo - ,,,
"Tidbits - Natalie Portman to attend We Day, great Mathilda graffiti and more -  ",,,
"Tidbits - Natalie Portman to attend We Day, great Mathilda graffiti and more -  ",,,
Must new new Natalie Portman Dior photos -  ,,,
Tidbits! The Jane Got A Gun lawsuit is settled plus Natalie films get a mention in Oscar 2015 preview - ,,,
So that deleted Thor 2 scene...should it have made the final film? Let us know in our new poll - ,,,
"RT @juliezeilinger: International Women's Day: Reflections from Natalie Portman, Maya Angelou &amp; Other Renowned Women via @feministdotcom ht",,,
"@prtycleverfilms @froleyfilm Good list, especially the Hotel Chevalier mention.",,,
RT @prtycleverfilms: Top 6 Natalie Portman Moments from @froleyfilm ,,,
Not too crazy about these Marie Claire extras of #natalieportman -  ,,,
RT @chiara_bazzurri: #HappyInternationalWomen My most inspiring and loved women of ever #natalieportman  @natpdotcom ,,,
Thor 2 deleted scene has Natalie Portman waking up in Asgard - ,,,
Natalie Portman and Shirin Neshat -  ,,,
Natalie Portman and Shirin Neshat -  ,,,
RT @Mick__Grimes: Finished this today after work. @JeanReno48 @natpdotcom Jean Reno in Leon the professional. ,,,
"Natalie Portman gives a real ""awwww"" moment on the set of Star Wars: Attack Of The Clones - ",,,
It's Oscar night and I miss Black Swan -  ,,,
"RT @cookveg: Hey @natpdotcom, did you know Natalie Portman got voted as one of our readers fave veggies/vegans? #discerningtaste",,,
Here is the Natalie Portman wallpaper calendar for March -  ,,,
Dior Magazine spread of Natalie Portman is here and it's glorious -  ,,,
@iktriad I believe Rach is on it for tonight. Great set!,,,
So what did you make of the new Dior vid? New poll here - ,,,
Natalie Portman pays a visit to Kids4peace -  ,,,
Natalie Portman has a video message about We Day - ,,,
All the Charlie Awards winners are here - ,,,
"What Natalie said to JJ Abrams about SW, Thor 3, concept art and more in todays tidbits -  ",,,
More gorgeous additions to this Natalie Portman Dior photoset -  ,,,
More new shots of Natalie Portman directing and acting on set in Israel -  ,,,
Charlie Awards: What was the worst Natalie Portman news of 2013? - ,,,
Some stunning new beauty shots of Natalie Portman from a 2013 shoot -  ,,,
Charlie Awards - Best Natalie News Of The Year - ,,,
More scans from the amazing Natalie Portman Dior mag set -  ,,,
More photos from Natalie Portman on the set of A Tale Of Love And Darkness -  ,,,
"It's Valentines + our 14th birthday, so check out a special Natalie Portman shaped gift over on the site - ",,,
@djvndvkd Smoke signals?,,,
Natalie Portman looking lovely on set in her acting capacity -  ,,,
From new pics Natalie is clearly not pregnant. My bad. Will offer up a proper mea culpa on the weekend.,,,
Video of Natalie on set for A Tale Of Love And Darkness - ,,,
Your most anticipated upcoming Natalie Portman film #charlieawards - ,,,
One of the best Natalie Portman photos we'll see all year -  ,,,
Tidbits! Including possible indication that both Malick films will be released this year - ,,,
Natalie Portman looks stunning in new Miss Dior outtakes -  ,,,
Wanna see the first photos of Natalie Portman directing her first feature film? -  ,,,
Charlie Awards - Most Frustrating Missed Opportunity - ,,,
@onemonthrails not sure how often but she has mentioned flipping between vegan and vegetarian.,,,
Go. Here. Now. #natalieportman #dior  -  ,,,
@onemonthrails Natalie lapses in and out of veganism so don't be afraid to do the same. Try it for a month and see how it goes.,,,
Some great Natalie Portman photos coming up...keep an eye on the main site ,,,
What was the best Natalie Portman video appearance of 2013 #charlieawards - ,,,
Today's tidbits has Tale Of Love And Darkness news but this photo will steal the limelight -  ,,,
"If anyone still cares, Pride and Prejudice and Zombies MAY still be happening - ",,,
Natalie Portman sends aid to Syrian refugees - ,,,
"@onemonthrails go vegan for a year and then I'll consider it ;-) Kidding I'm not Natalie, she's not on twitter.",,,
Have no fear. Server is undergoing maintenance. Site will be back online soon.,,,
Natalie Portman's directorial debut begun filming today in Israel - ,,,
Vote now in the #charlieawards Best Natalie Portman TV Appearance of 2013 - ,,,
We have an alternate wallpaper calendar for Feb with a Valentines theme -  ,,,
Natalie Portman and Philip Seymour Hoffman from The Seagull #rip -  ,,,
Natalie Portman is pregnant again. Huge congratulations to the family - ,,,
"Speaking of wallpapers, here is the wallpaper calendar for Feb -  ",,,
What is your best Natalie wallpaper from 2013 #charlieawards - ,,,
"Tidbits - Thor 3 gets writers, Thor 2 gets gag reel and Garden State gets some love - ",,,
Vote for the best Natalie Portman drawing from 2013 #charlieawards - ,,,
Pregnancy rumours squashed? Natalie in LA? The weirdest update in awhile - ,,,
But let's hold back on the congratulations until there is an announcement or further confirmation.,,,
It's looking more and more likely that Natalie Portman is pregnant - ,,,
@kcaroldrane Will be surprised if it doesn't win.,,,
Vote on Natalie Portman's Best Magazine Cover in 2013 #charlieawards - ,,,
Garden State is finally coming to Bluray - ,,,
Finally some photos of Natalie Portman in Israel -  ,,,
@kgingerbreadman I'm not Natalie. Unlikely that she will be in the new films.,,,
"RT @UnseenStarWars: Sick of prequel bashing, so here a picture of the beautiful talented Natalie Portman. #IthePrequels #PrequelsLove htt",,,
Vote for your Best Advertising Photo from the 2013 #natalieportman year. #charlieawards - ,,,
A higher quality version of that great new #dior #natalieportman photo -  ,,,
@PacoGalende nice,,,
@foxopoly prices haven't been announced yet.,,,
@DeLaLuz22 but which photo?,,,
The new Miss Dior #natalieportman ad is fantastic -  ,,,
@RuhmaRose I. Hate. That. Photoset. Not Natalie's fault.,,,
Vote for 2013's Best Magazine Photo #charlieawards #natalieportman - ,,,
Couple new black and white photos from Natalie Portman's visit to Berlin -  ,,,
The first category is Best Public Appearance. Vote Now! #charlieawards - ,,,
"The Charlie Awards are our annual awards, voted by you, for the 2013 year in Natalie Land. ",,,
Natalie Portman's partnership with Richard Mille has resulted in a limited edition spider inspired watch - ,,,
This Rouge Dior #natalieportman photo is probably the best shot from the campaign -  ,,,
What Natalie Portman news are you most hoping for? New Poll Time - ,,,
We have a full shot of this unfortunate Natalie Portman Dior campaign shot -  ,,,
A great Amidala drawing from Matt -  ,,,
Nice to see the first Natalie photos of 2014. Not nice to see paparazzi making her angry -  ,,,
Our Tumblr page is now running again. A new Natalie image every day - ,,,
I think everyone must have been drunk that day.,,,
"Another ""what were they thinking"" shot from Natalie's Rouge Dior campaign - ",,,
@bilzguy823 what took you so long ;-),,,
Natalie Portman has 3 films in this list of 100 most anticipated films for 2014 - ,,,
Your turn to vote for the film you wish Natalie Portman had been in - ,,,
A rare #natalieportman find from 1995 -  ,,,
Thor: The Dark World home video release details are here along with a new trailer - ,,,
Here is the first #natalieportman wallpaper calendar of the year -  ,,,
@taiyounoringo kind of you to say so. Thanks.,,,
Happy new year! Here is our 2013 review of all the Natalie Portman news -  ,,,
@kgingerbreadman I am not Natalie Portman,,,
@Starwarsfan1001 no that's what the site is for.,,,
@kgingerbreadman I'm not Natalie. There will be Thor 3. Pretty sure there won't be another Black Swan.,,,
My top 5 list of films that I wish Natalie Portman had been in -  ,,,
@75Christ I'm not Natalie,,,
@75Christ thanks but it's a well known photo,,,
"Hey, just noticed we got to 10k followers. Thanks to all of you and look forward to sharing exciting Natalie news in the years to come.",,,
Thanks to Angelina for another great Natalie sketch -  ,,,
Natalie Portman makes 2013 most beautiful faces list - ,,,
A couple great outtakes of #natalieportman from the old #finca shoot -  ,,,
New feature where I talk about the recent films I wish Natalie Portman had starred in -  ,,,
New #natalieportman images from Japan Marie Claire - ,,,
RT @tccandler: @natpdotcom Natalie made the 100 Most Beautiful Faces of 2013 List! -   #100FACES - Congratulations Ye,,,
Fantastic #natalieportman as Nina drawing -  ,,,
This is a great new poll. Natural natural or Natalie altered? -  ,,,
Rachel gives her thoughts on Thor 2 - ,,,
@thecountofmonty In what way is Mathilda a badass? Her colourful language?,,,
The poll of polls - Mathilda or Nina? - ,,,
You have to see this DiorSkin Nude behind the scenes video of Natalie Portman - ,,,
Natalie Portman looks AMAZING in this UNUSED Diorskin Nude photo -  ,,,
Natalie Portman looks AMAZING in this UNUSED Diorskin Nude photo -  ,,,
A young #natalieportman sketch -  ,,,
A STUNNING new @natalieportman shot from the Miss Dior ad -  ,,,
And here's a new version of a recent Natalie Portman photo -  ,,,
Natalie Portman's directorial debut has it's cinematographer - ,,,
"RT @BritishVogue: Would you join Natalie Portman, Beyonc and Jay Z and go vegan? ",,,
"RT @cnrdzh: Natalie Portman and Gary Oldman, from the set of ""Leon"". They are beautiful. ",,,
@KJSFAN it's a goodie alright,,,
Much better version of this great Dior editorial shot #natalieportman -  ,,,
Natalie Portman expresses her love for #seattle in video interview for #thor2 - ,,,
"Tidbits! - Anna Kendrick wants to kill for Natalie, the hairdresser speaks and a chance encounter in the desert - ",,,
RT @AnnaKendrick47: If Natalie Portman asked me to kill someone I'd probably do it.,,,
We have a new photo of a 15 year old Natalie Portman -  ,,,
@stephaneMarch We report on news that is already on the web.,,,
@AngeliitOux she doesn't,,,
Guess WHO :-/,,,
Guess we kissed Thor at the end of the film? Not Natalie Portman. That and more in todays tidbits - ,,,
We've added several MUST SEE new #natalieportman photos -  ,,,
Get the new Natalie Portman calendar on your desktop -  ,,,
Natalie Portman navigates one of the stranger video interviews that she's done - ,,,
And a happy hanukkah to Natalie and her Jewish fans.,,,
Happy thanksgiving Natalie fans. Now vote in our thanksgiving poll! - ,,,
Natalie Portman no longer able to do Dare Me -  #exclusive,,,
First review of Jane Got A Gun? -  #jgag,,,
"Old video of Natalie, Mila Kunis and Darren Aronofsky talking Black Swan - ",,,
These additions to Dior exhibition album are fantastic -  ,,,
Natalie Portman's next film #jgag has a release date - ,,,
1 more candid appearance of #natalieportman from last week -  ,,,
@Can_Zar In the bag.,,,
That was quick. Natalie Portman was back at LAX yesterday -  ,,,
Natalie Portman does some shopping in Beverly Hills -  ,,,
"Tidbits - Natalie has agent in France, Thor cracks half a billion and a great bit of fanart - ",,,
Natalie Portman looking cute with director of kickstarter documentary -  ,,,
"That was rhetorical, of course you do!",,,
Want to see a behind the scenes vid from this 2010 Elle shoot? -  ,,,
Help - ,,,
A great Natalie Portman from a few years ago is now in HQ -  ,,,
"Tidbits - Thor 2 passes Thor 1, Natalie snapped in Paris and a Natalie comic - ",,,
She's baaack. Natalie Portman arriving at LAX yesterday -  ,,,
@udontthinktwice beautiful thanks,,,
Been a long time coming - some Natalie Portman drawings -  ,,,
We found two new instagram discoveries of #natalieportman -  ,,,
Elle has a video of Natalie Portman from the Dior exhibition in Paris - ,,,
RT @Doquinn76: Here's my @ThorMovies  movie review  @ChrisHemsworthv @natpdotcom @TomHiddlesNET,,,
"Tidbits - Natalie Portman's new documentary project, Ramsay speaks and Audrey Hepburn eyes - ",,,
Natalie looked great at the Dior event in Paris -  ,,,
@grandepalms Unfortunately not,,,
@iktriad Great thanksy,,,
Natalie Portman in kickstarter video for dance documentary -  ,,,
"New still from Natalie Portman's short film, which starts playing in Paris tomorrow -  ",,,
Thor 2 lands the 4th biggest opening of the year. This and more in today's tidbits - ,,,
@Real_sul she is private and doesn't communicate with fans.,,,
@Real_sul thanks but we aren't Natalie.,,,
Check out full #natalieportman on Jimmy Fallon appearance here - ,,,
Thor looking good for 90 million opening weekend. If you've seen it you can post thoughts here - ,,,
Natalie Portman is pretty in pink on Jimmy Fallon -  ,,,
New poll time - are you going to see Thor 2 this weekend? - ,,,
Here is Natalie Portman leaving Good Morning America -  ,,,
"Tidbits! Reviews, interview and a blast from the past - ",,,
Here it is! Natalie Portman's funny appearance on Letterman - ,,,
Natalie Portman attending the NY premiere of #thor2 -  ,,,
Natalie Portman arriving to Letterman yesterday. Airs tonight -  ,,,
Want to see Natalie Portman on Good Morning America? Then hurry and click - ,,,
A jam packed tidbits update including this great #thor poster from Shanghai -  ,,,
Natalie Portman almost burns down the palace. Check out that story in Letterman preview - ,,,
@MCallahanLA Thanks for the Letterman preview.,,,
A jam packed tidbits update including this great #thor poster from Shanghai -  ,,,
@theplaylist Some big claims in the Jane Got A Gun lawsuit ,,,
Jane Got A Lawsuit #shotsfired - ,,,
"Happy Guy Fawkes day, as long as you don't look over your shoulder. ",,,
Tidbits - Natalie Portman on in Germany and Australia. Not on the red carpet in LA - ,,,
Natalie Portman on 50 mn Inside. The show includes an interview and career retrospective -  ,,,
