Sports,Politics,Finance,Travel,Technology ,History,Food,Entertainment,Shopping,Education
take,off,for,nomadic,day,life history,zoophagan,collide,closed,ignorance
tee,old boy network,section,oost,debugging,middle ages,lamb's fry,tea,closed-circuit television,ignorant
tilt,Ollie,Fha,open,decentralize,mystery,hominy,Ethiopianism,closer,Ilea
timekeeper,opinion poll,financially,outside,decentralized,old,instantize,quartter,club,illiteracy
timing,opportunist,financiers,overtake,dedicated file server,provenance,little,all–expense,co-op,illiterate
tournament,opposition,funders,overtaking,default,purana,ladle (out),Revudeville,coffee,illustration
tourney,orleanist,outsourcing,Paracelsus,degradation,renaissance,lashing,plaything,coffee shop,Imac
trainer,out,producer,pass over,degraded,Tacitus,brain stuff,C-lister,coffeehouse,improvement
trapshooting,parties,promoter,peregrinate,delimiter,war,cart,gift,coif,indemnity
trial,pawn,purse strings,peregrination,delineation,1 chronicles,pompano,tavern,color,index
trophy,pawning,purser,Peregrine,department of computer science,2 chronicles,pressure cook,custom,comb,Industrial Psychology
turf,per,settlement,pilgrim,depth,aboriginal,regurgitate,universal,commissary,infancy
ump,perquisite,stakes,pitch,dervish,abridge,beaten,vanity fair,compare,informed
unbroken,pff,A B C,pitched,des,acquaintance,non fat,zip wire,compositor,instructors
upset,Picayune,actuary,plane,descant,activision,egg,firecracker,cone,integration
venery,pinkish,adventurism,ply,descriptive,Adams,sloppy,miniature golf,confectionary,intelligent
venue,pit,Alan,post,descriptive anthropology,adjunct,sopping,daybill,confectionery,interest
Aau,pitting,Annual Percentage Rate,posted,design,adventure,stuck,fire-breather,conveyer,intermediate
Aba,plurality,area,propagate,designed,adventuring,trencherman,card,counter,intern
abid,pol,asset-based lending,range,desirable,Aetolia,unwholesome,laser,counter jumper,interning
Acapulco,political leader,attorney,redeye,desktop,africana,rock salmon,trash,counterjumper,ivy league
Acapulco De Juarez,politicize,basis point,return,desktop publishing,afro-american,tuck away,what's on,counterman,John Dewey
acc,politicized,bottomry,riad,detail file,age,cat food,fandango,cradling,kindergartens
ace,politico-,cameralism,riding,detector,ahistorical,dhal,pinscreen,cream,kinesiology
address,popularity,cameralistic,roadway,developmental,aid,spoil,publican,credit,kith
addressing,positivism,capital account,round,device driver,aided,pasta,tea-garden,crib,Kolkata
ade,power play,capital intensity,routing,diagnosis,Aif,take,term,cribbed,lady
adidas,power structure,captive finance company,roving,diagnostic program,alderman,undressed,feelie,cruller,Lamaze
advantage,powers,carrying charges,seafaring,diagnostics,Alger,smother,guest right,curio,languages
aerial,practical politics,censor,seagoing,Dino,allegorize,gastropub,tolerable,custom,Lea
Afl,presbyter,certificate,shipped,dip switch,alpha,lythe,4D,cyan,liberal education
agent,priestcraft,champerty,shuttle,disambiguator,altitudinal,mycotrophic,blackguard,dairy,literate
Ahmad,primary,chancellor,sit,disc pack,americana,meat offering,minstrel,Danish,local
Ali,progressivism,chancellor of the exchequer,ski,disc space,Americanist,digestible,anticipate,delis,lore
aligner,prohibitionist,Civil War,skiing,discipline,americanization,sour,interactive,dent,lorettine
alignment,publicist,color,sku,disciplined,amphibiology,sweets,rock festival,dents,lowbrow
all,radicalism,colour,slang,disk controller,Amun,well fed,pay–TV,department,lyceum
all-,radicalize,commercial credit company,sledge,disk file,anamnesis,emergency,casting couch,department store,madrasah
alley,rainmaker,commercial finance company,slice,disk pack,anatomy,fast food,rodeo clown,det,major
Alps,rainmaking,commercial loan,sliced,disk space,ancient history,drool,play–party,die,Mann
amateurism,rap,consensus,slicing,disposable,Angevin,fill,roadshow,diestock,Marshall
amphitheatre,rapping,consolidate,slither,doer,angle,butcher,advertise,ding,Mary Wollstonecraft
anchor,rapporteur,consolidation,snowmobile,Doha,antecedents,brit,taupou,dipstick,Mary Wollstonecraft Godwin
anchoring,rat,consultant,snowmobiling,dongle,Anthropological,drug,tickets,discount house,massing
anchorwoman,rats,consumer finance company,spacecraft,dos,antihero,congee,soirée musicale,dispensary,master of education
angle,reaction,Cooke,spaceman,dots,antiseptic,sweet tooth,marionette,display,matura
Ann,readjustment,Cpa,speedometer,dove,appanage,slow cooker,programmer,display case,mean
announcer,reconstructionist,creditor,stage,download,appear,skewer,the Dow Jones Industrial Average,divan,means
Appel,Redgrave,cynical,staged,doy,appearing,thumbpiece,fire kindling,Diwali,Mec
approach,redolent,danegeld,staging,dpt,Apr,hunt,half-price,dock,Med
arenas,regular,daria,starship,draft,Aquitaine,gulosity,dormant,donut,Menninger
Arlberg,republic of austria,deficit financing,steam,drafted,arabist,gum,barrel jumping,dozens,mental deficiency
arm,resumption,destined,steerage,drag,araucarian,store,London,dram,mentor
armchair,right,Dewan,stop,drift,Arbuthnot,turner,wrestling,dramshop,Metropolitan District
armguard,rights,discount,stowaway,drive,archaean,scrounge,friendly lead,drapery,Milton
army,Rogers,draw,submarine,driver,archive,cutlet,acknowledgement,drawing,minor
Ashe,Ron,Economic Sanctions,swim,dtl,aristocracy,fruity,employment,dress shop,morality
assess,Ross,emission,tachograph,dual inline package switch,Aristotle,chip,inadvisable,drier,morals
assessing,rough,Eni,tachyon,duat,Arnold,game bird,mundane,drug,moron
assist,rush,equipment trust certificate,taxi,dump,assistance,get something down,obscene,dry cleaners,Msa
assisted,rushes,eurodollar,thoroughfare,dumping,assure,cheese spread,parade,duka,mullah
astroturf,rushing,export credit,throat,dust,Assyriology,derbio,parlor,dummy,multimedia
atm,salon,exposure,throw,dusting,astral,bounty,hogmanay,duty,National
aut,sansculotte,fiscally,tool,dynamics,astrogeology,sous vide,Butlins,duty-free shop,Nea
autodrome,school,flier,topspin,dyspnea,Atomic Age,engorge,cogent,dye,neglect
avalanche,scratch,floating,touting,dysprosium,atum,ravine,Arabian Nights,dyeing,nescient
average,scratched,Florence,towpath,e-commerce,Auckland,flambé,tribunal,early closing,New Town
avid,sensationalism,fly-by-night,track,e-mail,aud,food controller,re-enact,earthworm,Newtown
Aviemore,shirtsleeve,Fouquet,tracked,e-waste,Aurich,food mill,climax,Eastleigh,Nsf
away,shyster,fraud,tracking,econometrics,Australasia,hand blender,plebeian,eclair,Nuffield
babe,side,get,,economics,Bach,cattle cake,computer,Edam,nutritional
backcourt,sinologist,Girard,,Edgard Varese,backgrounder,catering,comeback,elf,O Level
backfield,slogan,Golden Rule,,editor,bacteriology,ling,schlock,emporia,obe
backhand,smear,goods,,editor program,balance of power,fall on,appliance,enl,Oblate
backhanded,soft,grant,,effector,Bancroft,gastronomy,blockbuster,entrails,occupational
backstop,son,Gross Profit,,efficiency,barros,moreish,gleefully,epoxy,oralism
backstroke,sophist,guru,,efficient,Barthold George Niebuhr,glop,versatile,espresso,overqualified
backswing,sorehead,habilitate,,egocentrism,Basra,board and lodging,troubadour,est,page
bail,south,Hoover,,egyptologist,battle,pout,tribute,estimate,parents
balk,Soviet,Ifc,,ekphrasis,bear,rabbit,communications,etui,parish
balking,sphinx,Imf,,electrical energy,Bede,rice,pharmaceutical,exchange,philanthropic foundation
ballplayer,spoil,Industrial Bank,,electrical engineering,Beethoven,thirst making,region,exclusive,piarist
banal,spoiler,Industrial Loan Company,,electron lens,bend,pack sth away,wit,eyed,plain
banked,spoilsman,intendant,,Electronic Database,bended,food pantry,salute,facia,Pme
bantamweight,stalwart,invoice,,Electronic Information Service,bends,put sth away,hetaera,factory,point
barred,Stassen,Ivan,,Electronic Jamming,bens,slice,ball,failure,point system
barrier,stink,James Edward Meade,,Electronic Mail,Benton,sling hash (or plates),bash,fascia,populace
Barry,straight ticket,Jay Cooke,,Electronic Stylus,Berra,flour,blast,father of the chapel,popularization
base,strategy,junk bond,,Electronic Warfare-support Measures,bestiary,scrumptious,celebration,fence,portfolio
basement,striker,leaseback,,empiricism,bestride,unconsumed,cheer,fender,poster
basket,sturm und drang,letter of credit,,emulate,Bewick,lumut,clambake,file,practice teacher
basketball equipment,subterfuge,leverage,,emulation,bibliographic,monotrophic,delight,fins801. first aid,pre-school
bats,superstition,liquidation,,engine,bibliographical,Fishes,dissipation,fix-it shop,prerequisite
beam,superstructure,Loeb,,engraving,bibliology,preservatize,distraction,float,preschools
bench,swath,Mae,,ensemble,bill gates,recipe,diversion,floor manager,president
bench warmer,tabloid,margin,,ephyra,bio,whitebait,enjoyment,florist,profession
benching,tactical,Martin,,epoch-making,biogenesis,ramp,feast,florist shop,professional
benefit,Tammany,Meade,,epochal,biogeny,starving,frolic,flower store,professor
beret,Tammany Hall,mercantilism,,eprom,biographer,harder,fun,food shop,program
Berra,theorist,merchant,,equaliser,biology,dish sth out,gaiety,foreman,progressivism
besom,toehold,microfinance,,equalizer,blackletter,additive free,game,forewoman,provide
bias,toleration,ministering,,erasable programmable read-only memory,bontemps,spoilt,grins,forge,Pse
biased,trade,Necker,,erbium,book of judges,burnt offering,laughs,Frank Winfield Woolworth,ptas
big-league,trades,nonfinancial,,erotology,book of mormon,belt,merriment,franklins,publicity
bind,Trent,Octavian,,escape,bookkeeping,epicure,merrymaking,frappe,pursuit
binding,trimmer,Omb,,escaped,border,coarse,party,free,quadrivium
bird,troubleshooter,overtrading,,esd,bordereau,canard,pastime,frippery,raise
birdie,turbulence,par,,Esm,bordering,cinnamon,picnic,fritter,read method
bison,twopence,point,,essentialism,Brabham,dope,play,frontage,read method of childbirth
blackout,tycoon,private export funding corporation,,establishment,Breslau,plate up,recreation,fruit,realist
bladder,ultra,procurator,,ether,bright,Defra,relaxation,fryer,reception
bleacher,underdog,produce,,ethnography,Brooks,sling,relief,garage,recipient
bleachers,unionism,quaestor,,europium,bryozoa,esurient,revelry,garages,reeducate
blues,Unitarian,raw materials,,execute,Buddha,caloric,satisfaction,geode,refinement
blur,unitary,refactoring,,executed,buffalo,cooker,shindig,gift shop,refining
boarder,unpolitical,regie,,execution,Buffon,full mouthed,sport,gig,rehabilitate
bobble,unreconstructed,repo,,execution speed,bung,fou,spree,gillhouse,remote
bogey,upheaval,revenue bond,,executive,Burney,macaronic,surprise,ginshop,resp
boi,urbanology,Roi,,exit,bushranger,liquidizer,treat,glove,resume
bolter,utopia,rule of 78,,expert,cabal,milkfish,act,gondola,retraining
bonk,veteran,sales finance company,,expertise,Caen,omnivorous,avocation,grease,romanticism
booing,ward heeler,schedule,,explosion,caenogenesis,plain,bag,greengrocer,rotc
book,wheeler-dealer,Schmidt,,export,cainogenesis,snacky,ballgame,grogshop,rote
booking,who,scrip,,extensible,camp,wolfish,bit,gym,rude
books,whom,sec,,fabricate,Carlyle,range,deed,hacksaw,s level
boomerang,Will Rogers,security,,fallback,carmelites,sup,endeavor,haircut,Salesian
booster,William Penn Adair Rogers,self-liquidating,,fat,carry,gastronome,enterprise,hairdo,Sappho
boots,wire-pulling,Senate,,feature,Cato,splurge,entertainment,halibut,Scally
bouldering,xenophobia,ship money,,feeling,cenogenesis,gram,game,handsaw,sce
bout,academia,site,,feng-hwang,Central,get,hobby,handsel,schola cantorum
bracer,advisable,small loan company,,fertilize,cetology,dinner,job,Harrod,school board
brent,artful,society,,fetus,Chanson De Geste,flyblow,labor,hartal,school district
bridge,body,stake,,fiberoptic,character,swallow,occupation,hat,school system
bridged,candid,staking,,fic,character loan,discuss,pastime,hat shop,schoolteachers
bridging,commonweal,statement of condition,,file name,characterless,feast,project,head shop,secretary
broad jump,community,Stephen Girard,,file server,Chicago,cook up something,racket,heel bar,secretary of education
bruiser,corporation,stocked,,filename,Christendom,iron rations,scene,Henry Oscar Houghton,secularisation
buckaroo,country,supertax,,filtered,christocentric,macrophagous,scheme,high street,secularism
budge,diplomatic,tertiary,,filtering,chronicling,do the honours,stunt,hock,secularist
bump,disturbance,trades,,financing,chronography,hametz,task,hoe,secularization
bumping,enfranchise,utility bond,,firmware,church,dredge,trip,hospital,secularize
bumps,enfranchisement,utility revenue bond,,fission bomb,Churchill,fat free,undertaking,hot,seeking
bunker,estate,wall street,,fit,churl,greasy,venture,hotspot,self-culture
bunkering,estate of the realm,war chest,,fitted,ciao,pane,work,Houghton,self-improvement
burn,expedient,world bank group,,fix,cicerone,dispurveyance,zoo,hour,sem
butt,folk,write-down,,fixed storage,cladistics,milkful,enjoyment,housing estate,senior
butted,govt,yahoo,,float,Clarendon,airline food,entertainments,imperfect,Sep
butterfly,ical,zaibatsu,,flush,clas,go short,occupations,incendiary,Seth
bye,impolitic,accommodation paper,,flushed,classics,amphivorous,lessons,incense,severance
Caddyshack,incorporate,acquiring,,flux,Clio,choice,pleasures,ink,sex
cage,inflammation,additionality,,flyby,collector,fancy,theater,inventory,she
call,jesuitical,aging,,focus group,colonial,al fresco,accidents,iron,Shillong
caller,judicious,Anne Robert Jacques Turgot,,fold,colonization,cowpea,festivals,ironmongery,simple
camel,land,Apr,,Ford,Columbian,crab,trips,irons,simples
cannonball,nation,Auc,,foregrounding,communism,get down,dictionary,jargon,sisyphean
canvas,politicly,Autodefensas Unidas De Colombia,,forgery,communist manifesto,consume,participant,jig,Sixth Form
Cao,prudent,big business,,formalism,community,clear,encyclopedia,joiner,Skinner
capped,sovereignty,book,,Fortran,computer,chilled,concerts,junk shop,slave
capping,states,borrower,,fragmentation,concealment,domestication,fans,karat,socialism
caps,stoop,borrowing power,,frame,conceptualize,dispose,lover,keep,socio
captain,stoops,bridge financing,,frame buffer,confederal,dairy,boating,keeps,sophisticate
card,suave,budget items,,free association,conform,eat someone out of house and home,arena,kiln,sophistication
cards,ulcer,building society,,freedom,conformity,goose,coach,kit,sponsor
career,weal,bust-up takeover,,fst,confrontation,put away something,careers,kite,sporting
carnival,ally,buyout,,function,confucianism,put something away,performances,kosher,sports
carry,beginner,capital structure,,functionality,consecration,grouse,lifting,lab,state school
catalytic,boring,capitalization,,gabber,conservative,mielie meal,spectator,lathe,Steiner
catcall,bullshit,checkoff,,garbage,consideration,sardine,bowling,latte,student teacher
catch,Byzantium,circumstance,,gear,consistent,slimline,gardening,lava,sub
catgut,cinema,commercial,,Ged,constant,supper dish,Krishna,leash,subbing
Celtic,constitutionalism,commercial finance,,Geiger Counter,consul,tinned,sponsorship,lens,Sunday School
challenger,counterparts,commission,,generate,consulate,touch,biomechanics,letterer,superior
Chamonix,criminology,construction loan,,generation,Continental,turkey,comics,leverage,tanquam
charge,crooked,convertible preferred stock,,genre,contrast,make,fondness,lingo,Technical College
charged,democrats,credit report,,geography,conversant,main dish,heroes,lizard,thoroughbred
charging,depreciatory,deal,,gif,coon,ovenware,diversions,loan office,three rs
cheap shot,dishonesty,deficit spending,,Gigo,Corsica,on a full stomach,commercialization,loaner,tonette
check,exceptionalism,department of the treasury,,glosa,cosmogenic,predigestion,photography,log,Toronto
checking,filmmaking,deplorable,,gloss,cosmogonic,silken,holidays,loin,tour
cheering,folklore,developer,,glossed,cosmogonical,silky,lovers,loins,trade school
cheerlead,governments,direct-grant school,,glossing,cosmologic,chemopreventive,prowess,Lombard,true-bred
cheers,intellectuals,disadvantage,,Godard,cosmological,glutton,meals,loofa,turtle
Chino,lies,disadvantaged,,gold,cosmology,garbage,dramatics,lox,unenlightened
chinos,newspapers,discount loan,,goods,council,mump,celebrities,lube,Unicef
chip,president,easy money,,gotcha,cover,birdseed,wear,lumber,unit
choke,press,Economic Condition,,graftage,covers,edacious,toys,lumberyard,unlearned
choked,tyro,economically,,gramophone,cram,eater,excursions,Mabel,unlettered
choo,yuck,enterprise zone,,graphics,cramming,pabular,beaches,machine,unskilled
chop,Mohandas Gandhi,factor,,Grenoble,credit,imperishable,spectators,machine shop,untaught
chopped,Alexander the Great,fellowship,,guest,credit analyst,predacious,picnics,machinist,untutored
circ,Mao Zedong,Ferdinand V,,Gulbenkian,credited,timbale,competitors,magazine,Upe
circus,Winston Churchill,field,,gunt,creditworthiness,rapacious,camping,malt,upgrading
classified,Genghis Khan,filing,,hack,criticism,ravin,collision,malted,urbanology
clean,Nelson Mandela,finance minister,,hacking,current,searing,proficiency,manager,Ursuline
cleaned,Abraham Lincoln,financial condition,,haliography,curriculum vitae,bread,performers,manageress,values
cleared,Adolf Hitler,fisc,,hamiltonian,cyclic,cooking,obsession,market keeper,vet
clinch,Ernesto Che Guevara,floatation,,hand-held computer,cytology,cuisine,fan,mastaba,vocational program
clinched,Ronald Reagan,flotation,,hand-held microcomputer,dactyliography,drink,companion,meat,weee
clinching,Cleopatra,franchising,,handshake,danegeld,fare,outings,meat market,Willard
clip,Franklin Roosevelt,from,,hang,dating,feed,festivities,mechanic,wing
clock,Dalai Lama,gap financing,,hardness,dau,foodstuff,beard,mechanics,Wollstonecraft
close,Queen Victoria,Godolphin,,hatch,day,meal,mustache,menaced,Wright
clothesline,Benito Mussolini,Hmo,,head crash,De Novo,meat,hat,menacing,yours
cloud,Akbar the Great,husband,,hearing aid,decade,snack,moustache,mercery,zeitgeist
clouded,Lenin,ifis,,heart monitor,degrade,aliment,head,merchant,Academic Freedom
cloudy,Margaret Thatcher,impractical,,heat,democracy,bite,pair,Microsoft,accelerate
clout,Simón Bolívar,includes,,heat death,dendrologist,board,cap,midinette,accredit
clubbing,Qin Shi Huang,independent school,,helicopter,dendrology,cheer,water,milk bar,accreditation
clubhouse,Kim Il-Sung,indie,,helium,department of history,chow,coat,mill,accredited
come back,Charles de Gaulle,instruments,,heuristic,derivation,comestible,look,millais,achievement
competitor,Louis XIV,interim financing,,high-level formatting,derogatory,cookery,shirt,millinery,acronym
compulsory,Haile Selassie,inventory loan,,high fidelity,describe,diet,interface,mobile,activity
concourse,King Richard the Lionheart & Saladin,item,,high renaissance,descriptive,eatable,and,mocha,adviser
conference,,joint venture,,hit,desk,eats,suit,model,affirmative action
connect,,land bank,,Holocene,dex,fodder,tattoo,motor-driven,alumna
consolation,,land contract,,home,dialectic,goodies,smile,mutton,alumnus
convert,,law centre,,homodemic,dialectical materialism,grit,goatee,muzak,arboretum
corner,,lectureship,,horse opera,diegesis,groceries,sign,Naafi,assembly
cornering,,Leopold Ii,,host,differentiate,grub,equipment,navicert,audiovisual
corvette,,leveraged buyout,,hunker,diffusionist,handout,jacket,Nell,augustinian
Costas,,maturely,,hunt,Dio Cassius,keep,hair,newsagency,backgrounders
count,,maturity factoring,,hunted,Diodorus Siculus,larder,editor,newsstand,Beecher
counter,,Medicaid,,hydrography,dionysius of halicarnassus,menu,ring,next,Beijing
counting,,minister of finance,,hypothesis,diorama,mess,set,nine,beneficiary
country,,Monterrey,,Iadb,diplomacy,nourishment,bar,nonunion,Bethune
coupe,,narcoterrorism,,Ibrd,discography,nutriment,tie,Nova,board of trustees
court,,National Health Service,,icon,division,nutrition,park,novelty,books
courting,,New Money,,iconography,Djibouti,pabulum,haircut,novelty shop,Boston
covers,,New Thought,,iconology,doctor,provision,wig,nut,Bratislava
crawl,,non-recourse finance,,Idb,doctrinaire,ration,clothes,odd,Cambridge
crawling,,Opec,,illegal,documentaries,refreshment,uniform,off-licence,Cardiff
crease,,operating cost,,import,domain,slop,features,offal,casebook
creased,,operating expense,,inclusion,Dred,store,roof,officinal,catalyze
cricket equipment,,overhead,,index register,duke of marlborough,subsistence,tail,oilcan,centralism
croquet equipment,,paid,,Industrial Psychology,Duma,support,feelings,oiler,charitable trust
crud,,panic,,initialisation,Durango,sustenance,cover,oops,charter
cue,,panicked,,initialization,Durant,table,title,oost,coeducational
cue stick,,permanent financing,,initialize,early american,tuck,logo,open,collection
curler,,prebend,,input data,East Turkestan Islamic Movement,viand,design,operators,Comenius
cushion,,preproduction,,input file,East Turkistan Islamic Movement,victual,car,optical,community center
cut,,pro forma,,inscription,Ebionite,entrée,version,oreo,composition
cutaway,,procuring,,instruction execution,echo,fast food,even,outfitter,correspondence school
cuts,,prosper,,integration,ecology,home cooking,especially,outwork,courseware
cutthroat,,prospering,,interconnection,eddy,moveable feast,proudly,oven,cousin
Dall,,public debt,,interlude,Edsel,take out,particularly,paint,credited
dasher,,public works,,internal financing,Edward Gibbon,vittles,complex,painter,credits
daylight,,purchasing,,interpreter,Edwardian,bolus,has,palace,curriculum vitae
dead,,quango,,interpretive program,Eea,chew,see,panatela,demerit
deadwood,,quasi-ngo,,interrogate,Egypt,food,wears,papers,direction
deal,,regulated,,interrupt,Egyptology,quid,council,parade,division
decision,,resourced,,intervening,Eisenstein,rumen,bra,parkour,drop out
decking,,resourcing,,intimate,ekistics,course,coliseum,parlour,Edexcel
deep,,revolving fund,,Invest,Elba,eats,Mvp,parrot,educatee
defence,,separate school,,invoke,elder,entrée,ref,parts,educationese
defend,,shakeout,,iron age,Elizabethan Age,fare,Aaa,passage,educatory
defending,,short-term,,Iso,Ellis,food,action replay,pastry,edutainment
defending team,,slush fund,,isopycnic,eloquent,helping,attack,patisserie,Edward Lee Thorndike
defense,,sm... business investment company,,iteration,embodiment,recipe,attacking,patron,employee development
deficit,,Social Insurance,,jam,emeritus,serving,attacks,pawn,enlightening
delirium,,solidity,,jamming,empire,beef,back,pawning,Esn
department,,sponsored,,janitor,engraving,brawn,bak,pawnshop,establishments
det,,sponsorship,,Jcl,enter,cells,ball,pekoe,etonian
deuce,,state,,Jean Luc Godard,eon,corpuscles,bandy,perfumery,Etv
dig,,steward,,jit,epidemiography,fat,barnstorm,perm,exceptional
dime,,structure,,job,epistasis,fatness,barnstorming,pestle,extension service
dink,,Sully,,Jpeg,epizootic,flesh and blood,bars,pet,extracurricular
Dio,,supported,,jump,erudition,food,bat,pet shop,extracurricular activity
dip,,tariffs,,Karlsruhe,eschatology,meat,batter,photo,facilities
dips,,Tobin,,katakana,eschaton,muscle,blank,pick,Faisal
direct,,treasury department,,kicksorter,essay,plasm,blanking,picket,Fukuoka
directing,,Turgot,,kinetics,Essenes,plasma,blazer,picketing,G. Stanley Hall
directionally,,unable,,kinked,etiquette,protoplasm,block,pilot production,Gladstone
dismiss,,underwriter,,kodomo,Etymologise,sinews,bobsled,pipe,grades
dismissed,,unfunded,,Kolkata,etymologist,thews,bowl,pizza parlor,grant
dismount,,Unifil,,krypton,etymologize,weight,bowled,pizza shop,Granville Stanley Hall
dismounted,,united self-defense force of colombia,,Lamaze Method,euhemerism,aliment,bowls,pizzeria,graphics
dismounting,,united self-defense group of colombia,,lamaze method of childbirth,Eusebius,brawn,box,place,guidance
divert,,United States Treasury,,lan,evanescent,chow,boxer,plane,hall
dogleg,,welfare,,language,Evangelical,comestible,break,planer,highbrow
dome,,world bank,,langue,Evelina,eats,breakaway,plant,Hilary Term
dope,,antipoverty,,latency,events,edible,Bundesliga,polo,Hubli
doped,,back,,laureate,example,fare,caber,post,Humboldt
double,,called,,lease,exchequer,food,camp,post exchange,informative
doubleheader,,control,,legalese,exile,foodstuff,chant,posted,instructive
down,,coordinated,,Leningrad,exodus,grub,cheerleader,posy,intellectual
downfield,,defense,,lens,fable,muscle,cis,pot,internship
downhill,,high finance,,liberal arts,fabled,nourishment,clear,pottery,Jackson
Lionel Messi,,interest,,lichenography,fact book,nutriment,cleat,pound,Jan Amos Komensky
Diego Maradona,,it,,,family history,provision,cleats,Prada,jesuit
Sir Donald Bradman,,monies,,,fark,ration,color,premises,John Amos Comenius
David Campese,,monopolistic,,,Fasti,subsistence,commissioner,,junior
Jack Nicklaus,,,,,,fiber,cool,,Hawthorne
Rod Laver,,,,,,food,country club,,Mann
Shane Warne,,,,,,health food,course,,boll
Severiano,,,,,,mineral,crew,,Hemingway
Eddy Merckx,,,,,,nutriment,crewed,,Hesse
Pele,,,,,,supplements,crosse,,Tolstoy
Ronaldhino,,,,,,board,cup,,readable
Bruno Soares,,,,,,chow,cupped,,fiction
Aryton Senna,,,,,,fare,cups,,read
Emil Zatopek,,,,,,feed,curl,,west
Ian Botham,,,,,,fodder,curls,,plot
C.B.Fry,,,,,,food,dash,,plotted
David Beckham,,,,,,forage,dashed,,plotting
Lewis Hamilton,,,,,,groceries,derby,,roman-fleuve
Steve Davis,,,,,,provender,devotee,,copy
W.G. Grace,,,,,,rations,discus,,cartoonist
Haile Gebreselassie,,,,,,stores,dive,,literature
Kenenisa Bekele,,,,,,viands,division,,Malraux
Abebe Bikila,,,,,,bacon,doping,,Saroyan
Paavo Nurmi,,,,,,beef,dribble,,wells
Bernard Hinault,,,,,,chicken,dribbling,,novel
Jacques Anquetil,,,,,,cooked meat,drop,,ana
Serge Blanco,,,,,,duck,eef,,credits
Michael Schumacher,,,,,,ham,epee,,Daniel
Steffi Graf,,,,,,kidneys,Espn,,gallery
Andy Murray,,,,,,lamb,event,,martyrology
Bill Shankly,,,,,,liver,fanned,,picaresque
Bobby Moore,,,,,,mince or minced beef,fanning,,Atwood
Chris Froome,,,,,,paté,field house,,Morley
Chris Hoy,,,,,,salami,Holocene,,snuff
Fred Perry,,,,,,sausages,Florentine,,James
Henry Cooper,,,,,,pork,burmese,,keep
Mo Farah,,,,,,pork pie,world,,summary
Nick Faldo,,,,,,sausage roll,mesopotamian,,text
Paula Radcliffe,,,,,,turkey,philosophy,,digest
Roger Bannister,,,,,,veal,journal,,odes
Sebastian Coe,,,,,,butter,science,,genre
Sir Steve Redgrave,,,,,,cream,professor,,account
Stirling Moss,,,,,,cheese,examination,,accounting
Dhyan Chand,,,,,,blue cheese,periods,,accounting data
Rajyavardhan Singh Rathore,,,,,,cottage cheese,medicine,,audit
Balbir Singh Sr,,,,,,goats cheese,mankind,,bookkeeper
Pullela Gopichand,,,,,,crème fraîche,event,,bookkeeping
Vijay Kumar,,,,,,eggs,essays,,chronological
Yogeshwar Dutt,,,,,,free range eggs,sociology,,considered
Sachin Tendulkar,,,,,,margarine,county,,considering
Sushil Kumar,,,,,,milk,religions,,divert
Leslie Claudius,,,,,,full-fat milk,archaeology,,galilean
Vijender Singh,,,,,,semi-skimmed milk,anthropology,,ledger
Gagan Narang,,,,,,skimmed milk,magazine,,maccabees
Kapil Dev,,,,,,sour cream,archives,,model
Mahesh Bhupathi,,,,,,yoghurt,theology,,nonrapid eye movement
Leander Paes,,,,,,baguette,christianity,,Nrem
Saina Nehwal,,,,,,bread rolls,student,,Nrem Sleep
Jwala Gutta,,,,,,brown bread,centuries,,orthodox sleep
Rohan Bopanna,,,,,,white bread,sexuality,,publisher
Sania Mirza,,,,,,garlic bread,lessons,,romance
Sunil Gavaskar,,,,,,pitta bread,mathematics,,romancing
Prakash Padukone,,,,,,loaf or loaf of bread,trauma,,travel
Ravichandra Ashwin,,,,,,sliced loaf,myth,,voucher
Viswanathan Anand,,,,,,cake,episodes,,zero balance account
Apurvi Chandela,,,,,,Danish pastry,moments,,erotica
Siril Verma,,,,,,quiche,dawn,,wood
Fausto Coppi,,,,,,sponge cake,legend,,borrow
Usain Bolt,,,,,,baking powder,social,,garland
Asbel Kiprop,,,,,,plain flour,parallel,,work
Tegla Laroupe,,,,,,self-raising flour,buddhism,,cycle
Hicham El Guerrouj,,,,,,cornflour,bibliography,,atlas
George Best,,,,,,sugar,astronomy,,clerk
Grete Waitz,,,,,,brown sugar,economic,,clerking
Magnus Carlsen,,,,,,icing sugar,explorations,,palm
Imran Khan,,,,,,pastry,lecturer,,polyglot
Miguel Tabuena,,,,,,yeast,sketch,,Forster
Manny Pacquiao,,,,,,dried apricots,judaism,,Moravia
Jose Mourinho,,,,,,prunes,vol,,account book
Nadia Comaneci,,,,,,dates,linguistics,,apocalypse
Maria Sharapova,,,,,,raisins,dynasty,,auditing
Vladimir Kramnik,,,,,,sultanas,geology,,book
Svetlana Kuznetsova,,,,,,breakfast cereal,cinema,,books
Alex Ferguson,,,,,,cornflakes,photography,,capitalize
Eric Liddell,,,,,,honey,precedent,,collector
Viktor Troicki,,,,,,jam,bulletin,,cyclopedia
Seve Ballesteros,,,,,,marmalade,encyclopedia,,etruscan
Carolina Marin,,,,,,muesli,allergy,,Invest
Bjorn Borg,,,,,,porridge,antiquities,,journal
Martina Hingis,,,,,,toast,watershed,,journalism
Roger Federer,,,,,,noodles,labor,,pamphlet
Johan Cruyff,,,,,,pasta,diagnosis,,reckoning
